buy_date,buy_price,sell_date,sell_price,return_pct,highest,max_return_pct,sell_type,sell_reason,score,code,board,board_type,n_limit
2026-01-21 00:00:00,18.5,2026-01-22 00:00:00,18.05,-2.43,18.88,2.05,peak_signal,见顶信号: RSI89.5+上影43.5%,61,000048,深主板,main,2
2025-02-10 00:00:00,3.08,2025-02-13 00:00:00,3.19,3.57,3.49,13.31,trailing_stop,追踪止损: 从高点-8.60%,65,000056,深主板,main,2
2026-02-05 00:00:00,2.07,2026-02-09 00:00:00,2.19,5.8,2.43,17.39,trailing_stop,追踪止损: 从高点-9.88%,62,000056,深主板,main,2
2025-08-27 00:00:00,7.66,2025-09-01 00:00:00,8.35,9.01,9.27,21.02,trailing_stop,追踪止损: 从高点-9.92%,75,000061,深主板,main,2
2025-11-11 00:00:00,9.25,2025-11-20 00:00:00,10.17,9.95,10.86,17.41,trailing_stop,追踪止损: 从高点-6.35%,66,000061,深主板,main,2
2024-08-15 00:00:00,8.65,2024-08-19 00:00:00,10.66,23.24,10.66,23.24,take_profit,止盈: 23.24%,63,000062,深主板,main,10
2024-08-27 00:00:00,19.61,2024-08-30 00:00:00,24.87,26.82,24.87,26.82,take_profit,止盈: 26.82%,85,000062,深主板,main,10
2024-10-17 00:00:00,30.56,2024-10-30 00:00:00,37.05,21.24,38.04,24.48,take_profit,止盈: 21.24%,61,000062,深主板,main,2
2025-04-14 00:00:00,24.83,2025-04-15 00:00:00,25.23,1.61,27.3,9.95,trailing_stop,追踪止损: 从高点-7.58%,66,000062,深主板,main,2
2025-02-18 00:00:00,10.74,2025-02-21 00:00:00,11.1,3.35,11.83,10.15,trailing_stop,追踪止损: 从高点-6.17%,70,000065,深主板,main,2
2025-04-09 00:00:00,16.49,2025-04-10 00:00:00,16.4,-0.55,17.3,4.91,peak_signal,见顶信号: RSI82.7+上影73.6%,61,000066,深主板,main,2
2026-05-07 00:00:00,23.98,2026-05-15 00:00:00,20.5,-14.51,25.74,7.34,stop_loss,止损: -14.51%,85,000066,深主板,main,3
2025-11-10 00:00:00,2.66,2025-11-18 00:00:00,2.72,2.26,2.93,10.15,trailing_stop,追踪止损: 从高点-7.17%,75,000069,深主板,main,2
2024-01-22 00:00:00,7.92,2024-01-24 00:00:00,9.58,20.96,9.58,20.96,take_profit,止盈: 20.96%,75,000070,深主板,main,5
2024-02-23 00:00:00,8.94,2024-02-26 00:00:00,8.85,-1.01,9.4,5.15,peak_signal,见顶信号: RSI94.5+上影47.7%,62,000070,深主板,main,2
2025-08-25 00:00:00,10.51,2025-08-27 00:00:00,11.04,5.04,12.5,18.93,trailing_stop,追踪止损: 从高点-11.68%,70,000070,深主板,main,2
2025-08-25 00:00:00,10.51,2025-08-27 00:00:00,11.04,5.04,12.5,18.93,trailing_stop,追踪止损: 从高点-11.68%,70,000070,深主板,main,2
2025-11-24 00:00:00,11.5,2025-11-26 00:00:00,13.92,21.04,13.92,21.04,take_profit,止盈: 21.04%,66,000070,深主板,main,4
2025-11-26 00:00:00,2.81,2025-11-28 00:00:00,3.4,21.0,3.4,21.0,take_profit,止盈: 21.00%,75,000078,深主板,main,6
2026-01-14 00:00:00,4.49,2026-01-16 00:00:00,3.74,-16.7,4.83,7.57,stop_loss,止损: -16.70%,70,000078,深主板,main,2
2026-03-02 00:00:00,12.06,2026-03-04 00:00:00,12.15,0.75,13.27,10.03,trailing_stop,追踪止损: 从高点-8.44%,85,000096,深主板,main,2
2024-03-12 00:00:00,11.41,2024-03-14 00:00:00,11.56,1.31,12.59,10.34,trailing_stop,追踪止损: 从高点-8.18%,60,000099,深主板,main,2
2024-07-29 00:00:00,16.11,2024-07-31 00:00:00,19.03,18.13,19.55,21.35,take_profit,止盈: 18.13%,63,000099,深主板,main,2
2024-10-30 00:00:00,4.77,2024-11-01 00:00:00,5.14,7.76,5.78,21.17,trailing_stop,追踪止损: 从高点-11.07%,70,000100,深主板,main,2
2024-01-24 00:00:00,10.6,2024-01-26 00:00:00,12.83,21.04,12.83,21.04,take_profit,止盈: 21.04%,74,000151,深主板,main,4
2025-02-11 00:00:00,8.29,2025-02-13 00:00:00,9.25,11.58,10.06,21.35,trailing_stop,追踪止损: 从高点-8.05%,75,000156,深主板,main,2
2025-05-06 00:00:00,24.82,2025-05-08 00:00:00,24.42,-1.61,25.58,3.06,peak_signal,见顶信号: RSI86.7+上影46.4%,72,000158,深主板,main,2
2024-09-26 00:00:00,2.89,2024-09-30 00:00:00,3.5,21.11,3.5,21.11,take_profit,止盈: 21.11%,85,000402,深主板,main,5
2024-10-16 00:00:00,3.47,2024-10-17 00:00:00,3.19,-8.07,3.52,1.44,stop_loss,止损: -8.07%,66,000402,深主板,main,5
2026-04-10 00:00:00,2.78,2026-04-14 00:00:00,3.06,10.07,3.22,15.83,peak_signal,见顶信号: RSI94.6+上影60.0%,80,000402,深主板,main,2
2026-04-30 00:00:00,3.17,2026-05-08 00:00:00,3.27,3.15,3.49,10.09,trailing_stop,追踪止损: 从高点-6.30%,75,000402,深主板,main,2
2025-08-12 00:00:00,6.28,2025-09-10 00:00:00,6.42,2.23,6.95,10.67,trailing_stop,追踪止损: 从高点-7.63%,75,000417,深主板,main,2
2025-05-14 00:00:00,4.1,2025-05-16 00:00:00,4.58,11.71,4.96,20.98,trailing_stop,追踪止损: 从高点-7.66%,80,000420,深主板,main,2
2024-07-16 00:00:00,5.1195,2024-07-19 00:00:00,5.2977,3.48,6.1988,21.08,trailing_stop,追踪止损: 从高点-14.54%,80,000421,深主板,main,2
2024-05-07 00:00:00,11.56,2024-05-09 00:00:00,12.35,6.83,12.91,11.68,peak_signal,见顶信号: RSI88.4+上影44.4%,62,000422,深主板,main,2
2024-09-25 00:00:00,6.16,2024-09-30 00:00:00,7.7,25.0,7.7,25.0,take_profit,止盈: 25.00%,75,000430,深主板,main,2
2024-03-04 00:00:00,8.48,2024-03-05 00:00:00,8.58,1.18,9.18,8.25,trailing_stop,追踪止损: 从高点-6.54%,69,000504,深主板,main,2
2024-06-20 00:00:00,7.47,2024-06-25 00:00:00,7.5,0.4,8.22,10.04,trailing_stop,追踪止损: 从高点-8.76%,69,000504,深主板,main,2
2024-04-02 00:00:00,4.55,2024-04-08 00:00:00,5.51,21.1,5.51,21.1,take_profit,止盈: 21.10%,77,000506,深主板,main,3
2026-01-19 00:00:00,15.97,2026-01-21 00:00:00,19.33,21.04,19.33,21.04,take_profit,止盈: 21.04%,73,000506,深主板,main,3
2026-03-02 00:00:00,22.33,2026-03-04 00:00:00,20.41,-8.6,23.83,6.72,stop_loss,止损: -8.60%,73,000506,深主板,main,4
2025-10-21 00:00:00,3.45,2025-10-23 00:00:00,3.7,7.25,4.18,21.16,trailing_stop,追踪止损: 从高点-11.48%,75,000509,深主板,main,2
2026-03-05 00:00:00,3.63,2026-03-09 00:00:00,3.87,6.61,4.11,13.22,peak_signal,见顶信号: RSI85.5+上影85.7%,85,000509,深主板,main,2
2026-03-20 00:00:00,4.54,2026-03-23 00:00:00,4.09,-9.91,4.54,0.0,stop_loss,止损: -9.91%,56,000509,深主板,main,2
2025-05-26 00:00:00,5.91,2025-06-03 00:00:00,6.03,2.03,6.48,9.64,trailing_stop,追踪止损: 从高点-6.94%,70,000510,深主板,main,2
2025-11-06 00:00:00,5.81,2025-11-11 00:00:00,6.21,6.88,6.95,19.62,trailing_stop,追踪止损: 从高点-10.65%,75,000514,深主板,main,2
2026-01-14 00:00:00,6.19,2026-01-15 00:00:00,5.57,-10.02,6.19,0.0,stop_loss,止损: -10.02%,73,000516,深主板,main,2
2026-01-14 00:00:00,6.19,2026-01-15 00:00:00,5.57,-10.02,6.19,0.0,stop_loss,止损: -10.02%,73,000516,深主板,main,2
2024-08-02 00:00:00,2.34,2024-08-05 00:00:00,2.11,-9.83,2.34,0.0,stop_loss,止损: -9.83%,68,000518,深主板,main,2
2024-05-09 00:00:00,2.79,2024-05-10 00:00:00,2.82,1.08,3.05,9.32,trailing_stop,追踪止损: 从高点-7.54%,67,000520,深主板,main,2
2025-05-13 00:00:00,5.09,2025-05-15 00:00:00,5.5,8.06,6.16,21.02,trailing_stop,追踪止损: 从高点-10.71%,68,000520,深主板,main,2
2025-12-19 00:00:00,3.73,2025-12-24 00:00:00,3.78,1.34,4.1,9.92,trailing_stop,追踪止损: 从高点-7.80%,63,000523,深主板,main,2
2026-01-20 00:00:00,4.24,2026-01-21 00:00:00,4.15,-2.12,4.41,4.01,end_of_data,数据结束,82,000523,深主板,main,2
2025-04-03 00:00:00,13.79,2025-04-07 00:00:00,12.41,-10.01,13.79,0.0,stop_loss,止损: -10.01%,75,000524,深主板,main,2
2024-11-06 00:00:00,5.18,2024-11-11 00:00:00,5.95,14.86,6.5,25.48,trailing_stop,追踪止损: 从高点-8.46%,63,000530,深主板,main,2
2024-12-12 00:00:00,6.13,2024-12-16 00:00:00,7.43,21.21,7.43,21.21,take_profit,止盈: 21.21%,75,000530,深主板,main,3
2025-12-01 00:00:00,6.77,2025-12-03 00:00:00,7.7,13.74,8.2,21.12,trailing_stop,追踪止损: 从高点-6.10%,75,000530,深主板,main,2
2025-11-05 00:00:00,7.94,2025-11-10 00:00:00,9.94,25.19,9.94,25.19,take_profit,止盈: 25.19%,69,000533,深主板,main,2
