code,board,bars,first_bar,last_bar,written,status,errors
000004,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000014,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000016,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000017,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000019,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000020,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000021,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000025,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000026,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000055,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000056,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000058,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000059,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000060,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000061,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000062,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000063,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000088,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000096,main_sz,48,2026-06-23 10:00,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
