buy_date,buy_price,sell_date,sell_price,return_pct,highest,max_return_pct,sell_type,sell_reason,score,code,board,board_type,n_limit
2025-08-07 00:00:00,8.56,2025-08-13 00:00:00,9.99,16.71,9.99,16.71,take_profit,止盈: 16.71%,85,000070,深主板,main,4
2025-11-24 00:00:00,11.5,2025-11-26 00:00:00,13.92,21.04,13.92,21.04,take_profit,止盈: 21.04%,66,000070,深主板,main,4
2025-11-26 00:00:00,2.81,2025-11-28 00:00:00,3.4,21.0,3.4,21.0,take_profit,止盈: 21.00%,75,000078,深主板,main,7
2026-01-14 00:00:00,4.49,2026-01-16 00:00:00,3.74,-16.7,4.83,7.57,stop_loss,止损: -16.70%,70,000078,深主板,main,2
2026-03-02 00:00:00,12.06,2026-03-04 00:00:00,12.15,0.75,13.27,10.03,trailing_stop,追踪止损: 从高点-8.44%,85,000096,深主板,main,2
2024-03-12 00:00:00,11.41,2024-03-14 00:00:00,11.56,1.31,12.59,10.34,trailing_stop,追踪止损: 从高点-8.18%,60,000099,深主板,main,2
2024-07-29 00:00:00,16.11,2024-07-31 00:00:00,19.03,18.13,19.55,21.35,take_profit,止盈: 18.13%,63,000099,深主板,main,2
2024-10-30 00:00:00,4.77,2024-11-01 00:00:00,5.14,7.76,5.78,21.17,trailing_stop,追踪止损: 从高点-11.07%,70,000100,深主板,main,2
2024-01-24 00:00:00,10.6,2024-01-26 00:00:00,12.83,21.04,12.83,21.04,take_profit,止盈: 21.04%,74,000151,深主板,main,4
2026-04-10 00:00:00,2.78,2026-04-15 00:00:00,2.88,3.6,3.22,15.83,trailing_stop,追踪止损: 从高点-10.56%,80,000402,深主板,main,2
2026-04-30 00:00:00,3.17,2026-05-08 00:00:00,3.27,3.15,3.49,10.09,trailing_stop,追踪止损: 从高点-6.30%,75,000402,深主板,main,2
2025-08-12 00:00:00,6.28,2025-08-21 00:00:00,6.12,-2.55,6.95,10.67,end_of_data,数据结束,75,000417,深主板,main,2
2025-05-14 00:00:00,4.1,2025-05-16 00:00:00,4.58,11.71,4.96,20.98,trailing_stop,追踪止损: 从高点-7.66%,80,000420,深主板,main,3
2024-07-16 00:00:00,5.12,2024-07-19 00:00:00,5.298,3.48,6.199,21.07,trailing_stop,追踪止损: 从高点-14.53%,80,000421,深主板,main,2
2024-11-25 00:00:00,6.941,2024-11-26 00:00:00,6.338,-8.69,6.941,0.0,stop_loss,止损: -8.69%,61,000421,深主板,main,3
2024-05-07 00:00:00,11.56,2024-05-09 00:00:00,12.35,6.83,12.91,11.68,peak_signal,见顶信号: RSI88.4+上影44.4%,62,000422,深主板,main,2
2024-09-25 00:00:00,6.16,2024-09-27 00:00:00,7.0,13.64,7.3,18.51,peak_signal,见顶信号: RSI84.0+上影41.7%,75,000430,深主板,main,3
2024-12-12 00:00:00,10.48,2024-12-13 00:00:00,10.74,2.48,11.24,7.25,peak_signal,见顶信号: RSI87.4+上影55.6%,67,000501,深主板,main,2
2024-06-20 00:00:00,7.47,2024-06-20 00:00:00,7.47,0.0,7.47,0.0,end_of_data,数据结束,69,000504,深主板,main,2
