code,name,source_a_count,source_b_count,merged_count,fix_from,price_mismatch,quality_issues
688235,百济神州,1062,0,1062,TDX,0,0
688236,春立医疗,1051,0,1051,TDX,0,0
688010,福光股份,0,1292,1292,BaoStock,0,0
688011,新光光电,0,1292,1292,BaoStock,0,0
688012,中微公司,0,1292,1292,BaoStock,0,9
688013,天臣医疗,0,1292,1292,BaoStock,0,0
688015,交控科技,0,1292,1292,BaoStock,0,0
688016,心脉医疗,0,1292,1292,BaoStock,0,0
688017,绿的谐波,0,1292,1292,BaoStock,0,0
688018,乐鑫科技,0,1292,1292,BaoStock,0,0
688019,安集科技,0,1292,1292,BaoStock,0,0
688020,方邦股份,0,1292,1292,BaoStock,0,0
688021,奥福科技,0,1292,1292,BaoStock,0,0
688022,ST瀚川,0,1292,1292,BaoStock,0,1
688023,安恒信息,0,1292,1292,BaoStock,0,0
688025,杰普特,0,1292,1292,BaoStock,0,0
688026,洁特生物,0,1292,1292,BaoStock,0,0
688027,国盾量子,0,1292,1292,BaoStock,0,4
688028,沃尔德,0,1292,1292,BaoStock,0,9
688029,南微医学,0,1292,1292,BaoStock,0,2
688030,山石网科,0,1292,1292,BaoStock,0,0
688031,星环科技,0,861,861,BaoStock,0,0
688032,禾迈股份,0,1059,1059,BaoStock,0,0
688033,*ST天宜,0,1292,1292,BaoStock,0,1
688035,德邦科技,0,0,0,none,0,0
688036,传音控股,0,0,0,none,0,0
688037,芯源微,0,0,0,none,0,0
688038,中科通达,0,0,0,none,0,0
688039,当虹科技,0,0,0,none,0,0
688041,海光信息,0,0,0,none,0,0
688045,必易微,0,0,0,none,0,0
688046,药康生物,0,0,0,none,0,0
688047,龙芯中科,0,0,0,none,0,0
688048,长光华芯,0,0,0,none,0,0
688049,炬芯科技,0,0,0,none,0,0
688050,爱博医疗,0,0,0,none,0,0
688051,佳华科技,0,0,0,none,0,0
688052,纳芯微,0,0,0,none,0,0
688053,ST思科瑞,0,0,0,none,0,0
688055,龙腾光电,0,0,0,none,0,0
688056,莱伯泰科,0,0,0,none,0,0
688057,金达莱,0,0,0,none,0,0
688058,宝兰德,0,0,0,none,0,0
688059,华锐精密,0,1267,1267,BaoStock,0,0
688060,云涌科技,0,1292,1292,BaoStock,0,0
688061,灿瑞科技,0,861,861,BaoStock,0,0
688062,迈威生物,0,1039,1039,BaoStock,0,0
688063,派能科技,0,1292,1292,BaoStock,0,0
688065,凯赛生物,0,1292,1292,BaoStock,0,4
688066,*ST航图,0,1292,1292,BaoStock,0,1
688067,爱威科技,0,1185,1185,BaoStock,0,0
688068,热景生物,0,1292,1292,BaoStock,0,1
