code,board,bars,first_bar,last_bar,written,status,errors
000404,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000407,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000408,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000409,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000410,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000411,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000415,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000417,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000419,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000420,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000421,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000422,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000423,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000425,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000426,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000428,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000429,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000430,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000488,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000498,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000501,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000503,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000504,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000505,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000506,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000507,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000509,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000510,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000513,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000514,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000516,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000517,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000518,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000519,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000520,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000521,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000523,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000524,main_sz,32,2026-06-22 09:45,2026-06-23 15:00,32,ok,尾部缺失 2 天: 2026-06-23 → 2026-06-26
000525,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000526,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000528,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000529,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000530,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
