sell_date,sell_price,return_pct,max_return_pct,sell_type,d0_vol_ratio,d0_upper_shadow,d1_gap,buy_date,code,board,board_type,n_limit
2025-04-07 00:00:00,16.38,-8.7,7.41,stop_loss,5.74,0.0,0.0,2025-04-01 00:00:00,000025,深主板,main,2
2026-01-15 00:00:00,16.6,0.18,7.24,trailing_stop,4.36,0.0,1.16,2026-01-05 00:00:00,000026,深主板,main,2
2024-03-19 00:00:00,30.64,3.23,9.84,trailing_stop,2.77,0.0,0.0,2024-01-26 00:00:00,000028,深主板,main,2
2025-06-16 00:00:00,19.89,0.81,8.21,trailing_stop,2.06,0.0,-1.4,2025-06-03 00:00:00,000029,深主板,main,2
2026-05-15 00:00:00,28.91,18.05,22.34,take_profit,2.11,0.0,1.7,2026-05-12 00:00:00,000029,深主板,main,2
2026-04-03 00:00:00,4.8,-11.76,0.0,stop_loss,4.27,0.0,-2.16,2026-04-01 00:00:00,000030,深主板,main,2
2024-05-24 00:00:00,2.8,-8.5,2.61,stop_loss,2.1,0.0,0.33,2024-05-20 00:00:00,000031,深主板,main,2
2025-08-19 00:00:00,25.17,1.61,8.52,trailing_stop,2.31,0.0,0.0,2025-08-04 00:00:00,000032,深主板,main,2
2025-10-13 00:00:00,6.04,16.6,17.57,take_profit,4.19,0.0,-0.58,2025-09-12 00:00:00,000035,深主板,main,2
2026-03-31 00:00:00,6.77,-9.85,0.13,stop_loss,2.14,0.0,0.67,2026-03-25 00:00:00,000035,深主板,main,2
2025-03-24 00:00:00,3.87,-9.79,2.33,stop_loss,4.02,0.0,0.0,2025-03-03 00:00:00,000036,深主板,main,2
2026-02-27 00:00:00,5.38,-12.8,0.0,stop_loss,2.5,0.0,1.65,2026-02-26 00:00:00,000036,深主板,main,2
2026-05-21 00:00:00,5.4,-8.78,7.77,stop_loss,2.19,0.0,-2.47,2026-05-11 00:00:00,000036,深主板,main,2
