code,board,n_days,annual_return,annual_vol,sharpe,max_drawdown,daily_vol,limit_up_count,limit_down_count,vol_mean,vol_cv,vol_price_corr,autocorr,amplitude,short_score,trend_score
000590,深主板,1288,0.16775329867002742,0.45173202984358835,0.3713557764060073,-0.6192696192696192,0.028456443100203396,20,11,62024.138867339025,1.1837070465046904,0.3006478233114857,0.0005917784098058961,0.038426254337836904,0.620603015075377,0.3693467336683417
000591,深主板,1288,-0.016368955555406406,0.3905263715287679,-0.0419151093211143,-0.6817820206841687,0.024600849035179406,12,5,817284.4887509698,1.0739842451373776,0.3864319389452965,-0.03515519104624505,0.030653957670124164,0.34623115577889446,0.1336683417085427
000592,深主板,1285,0.49673761050927245,0.5309732074648238,0.9355229294543653,-0.6742424242424243,0.033448168090243535,46,15,1008869.2776049767,1.2288710623926105,0.11089703664429583,0.0835351461883132,0.04260160025248412,0.8798994974874371,0.7236180904522612
000593,深主板,1286,0.4951709959392485,0.5162622468477617,0.9591462458521925,-0.6730608840700584,0.03252146467739563,40,12,140417.95182595184,1.1310619281509822,0.28991759159203123,0.06415984099526231,0.03961416725664985,0.7788944723618091,0.6768844221105528
000595,深主板,1281,0.49395024826863265,0.5897148212495642,0.8376086719712875,-0.6845771144278607,0.03714854193988703,66,22,302807.2605304212,1.280755308211883,0.0663323894672025,0.16573674905584215,0.04578191641915304,0.956281407035176,0.8180904522613065
000596,深主板,1288,-0.09797012062702615,0.41245610691030493,-0.2375285975540939,-0.6607260726072608,0.025982292514631813,13,5,23577.148176881303,0.5378172350547021,0.2066814749410728,0.001626395301373584,0.03702801613356892,0.3733668341708543,0.1849246231155779
000597,深主板,1285,0.06155520677051585,0.35829414857659775,0.17180075927853533,-0.5736782902137233,0.022570409841507252,15,7,182833.29237947124,1.2741950481668154,0.26086976019432134,0.09690348043590638,0.028299001640396945,0.3226130653266332,0.621608040201005
000598,深主板,1288,0.10229936787990024,0.23707292988754605,0.4315101177027055,-0.2812982998454404,0.014934190834949969,1,0,193438.58960434445,0.5842557059485285,0.23716856816306348,-0.06348630451747546,0.0204740012681726,0.026130653266331655,0.4170854271356784
000599,深主板,1280,0.17358224496954633,0.440626769200433,0.3939439387319361,-0.511986301369863,0.027756877435766672,29,10,175193.34192037472,1.237735375121387,0.18595617147115853,0.08181507512432379,0.035063922648145784,0.5582914572864321,0.7165829145728643
000600,深主板,1288,0.21071354381879326,0.4199781726610417,0.5017249884289989,-0.5079754601226995,0.02645613811753481,21,2,318270.5360744763,0.9221595209919711,0.385346781485119,0.08311575819996389,0.034816731578662795,0.40653266331658294,0.7542713567839197
000601,深主板,1276,0.09118741436488742,0.4219834527292501,0.216092393611923,-0.606267029972752,0.026582458888237525,26,8,223537.99765074393,1.835524582029879,0.20069944685180977,0.07623703792390994,0.032141417786726384,0.5170854271356784,0.5753768844221105
000603,深主板,1272,0.32613155666295435,0.5036413145979103,0.6475472666957961,-0.6163032191069575,0.03172642067627893,18,12,152922.6622152396,0.7646351734501532,0.020707082036798278,0.0614398342132812,0.0390901414556779,0.6467336683417085,0.6623115577889448
000605,深主板,1288,0.136732087398026,0.4183796374864095,0.326813437239683,-0.5602755453501722,0.026355439866723715,23,12,77338.71605896043,1.243279093127896,0.17677129851277057,0.12229376619034073,0.031456221743705604,0.45829145728643217,0.7457286432160803
000607,深主板,1288,0.12845212651752624,0.4733893055920474,0.2713456451173454,-0.5982658959537572,0.029820723236050367,28,10,227346.24670287044,1.1519883695836846,0.2889217119157092,0.018643500501113002,0.03966404864043957,0.6919597989949748,0.41005025125628136
000608,深主板,1282,0.17962699483864397,0.504835031354594,0.3558132532060255,-0.7045951859956237,0.031801617763755965,32,19,191655.0522213562,1.0640810091505446,0.08465055621461723,0.11536574835133528,0.041123022933260096,0.7718592964824121,0.6597989949748743
000609,深主板,1280,0.4760424571296349,0.5714476539818002,0.8330464808326892,-0.86281179138322,0.03599781856493172,31,12,125957.36924277908,1.1436629047040994,0.048328835496531455,0.21695803695785626,0.044533787285273234,0.898994974874372,0.7879396984924623
000610,深主板,1287,0.11050014757672488,0.48349780133554976,0.22854322661136003,-0.6491625169760072,0.030457498613818516,22,17,158716.3307453416,0.8550270767537113,0.41088498076479013,0.04673727796666505,0.04011008941762568,0.6296482412060302,0.4663316582914573
000612,深主板,1278,0.24871186556484792,0.46748392093609176,0.5320222887384581,-0.6401050788091067,0.02944871896948286,20,8,377887.9757623143,0.9817215575285946,0.35078359928536135,0.02683008090450104,0.03715998273768672,0.5688442211055276,0.5185929648241205
000615,深主板,1284,-0.01729361596534984,0.5717848575317466,-0.03024497017987166,-0.9422481952561017,0.036019060391940444,24,16,267264.08249027235,0.7821295274830222,-0.009694568303910028,0.1333628736216637,0.04678826384161042,0.8115577889447236,0.5100502512562815
000617,深主板,1288,0.1688311716422437,0.4270445565276459,0.39534790705455103,-0.4974721941354905,0.026901278459905135,25,8,1108243.710628394,1.3288788369003168,0.44672362889490264,0.036677180738997665,0.03061501316617024,0.4964824120603015,0.5834170854271357
000619,深主板,1288,0.10753063073329994,0.44218206671078525,0.24318179959937566,-0.6335650446871897,0.027854851969745482,31,11,101887.28937160589,1.2061991785035624,0.1780053425713603,0.11069395308808268,0.03395462572401513,0.528643216080402,0.6386934673366834
000620,深主板,1285,0.2698018033148182,0.6408287205467659,0.4210201488544688,-0.7815315315315315,0.040368414941772617,86,28,898441.336702955,1.3887919677382625,0.10174912295686293,0.2116840346413135,0.048142946488102537,0.9874371859296482,0.7180904522613065
000623,深主板,1288,0.05966022188795783,0.2486693844563736,0.2399178411865357,-0.3177419354838711,0.015664698808263693,3,1,121824.28782001551,0.7483274751471043,0.30300061216862906,0.010937156226507826,0.019931637805409113,0.04271356783919598,0.46482412060301503
000625,深主板,1288,-0.04647595710318153,0.47444404401325263,-0.0979587744637876,-0.6611755896667915,0.02988716551130594,21,9,1547182.0543056633,0.7251458450495784,0.2932433272190883,0.0020295788796439143,0.03538063399266973,0.507035175879397,0.20452261306532665
000626,深主板,1288,0.021526229727716117,0.46146295289194095,0.04664779608593376,-0.8512996941896025,0.029069433633847383,27,14,74044.99844840962,1.151376494876734,0.2526469366190995,0.1244806432882616,0.038015682504401155,0.6306532663316582,0.5271356783919598
